distance,exp_time,true_time,color_time
0.1,0.763148,0.9,0.8
0.1,0.808153,0.9,0.9
0.2,1.24139,1.1,1.3
0.2,1.18039,1.2,1.2
0.3,1.43869,1.4,1.5
0.3,1.43869,1.4,1.5
0.4,1.60746,1.5,1.7
0.4,1.56826,1.7,1.6
0.5,1.738,1.7,1.8
0.5,1.738,1.7,1.8
0.6,2.15177,2.1,2.2
0.6,1.97049,2,2
0.7,2.02557,2,2.1
0.7,2.05546,2.1,2.1
0.8,2.1707,2.1,2.2
0.8,2.1707,2.2,2.2
0.9,2.32208,2.3,2.4
0.9,2.33375,2.4,2.4
1,2.3496,2.4,2.4
1,2.55813,2.5,2.6
1.1,2.50247,2.4,2.6
1.1,2.47766,2.6,2.5
1.2,2.54545,2.4,2.6
1.2,2.62295,2.7,2.7
1.3,2.65047,2.5,2.7
1.3,2.72275,2.8,2.8
1.4,2.93006,2.7,3
1.4,2.73472,3.1,2.8
