Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,R,G,B
0.760047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34226,-15.2833,15.642,-5.60867,0,0,0,0,0,0,0,0,255,0,0
1.23533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.117207,-0.162045,-0.198196,-0.846767,1.93118,-1.28671,0.288179,0,0,0,0,0,0,0,0,0,0,0
1.54381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.129961,0.218697,0.0639093,0.802171,-1.37011,0.741198,-0.135491,0,0,0,0,0,0,0,0,255,0,0
1.68981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0536331,-0.224359,-0.0305736,-0.721745,1.14115,-0.573902,0.097128,0,0,0,0,0,0,0,0,0,0,0
1.78039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.0118864,0.229984,0.0105818,0.767014,-1.17127,0.573807,-0.0941592,0,0,0,0,0,0,0,0,255,0,0
1.97292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-0.000533477,-0.117502,-0.00119691,-0.955142,1.19468,-0.507347,0.0734702,0,0,0,0,0,0,0,0,0,0,0
2.05546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0215039,0.13021,6.72697E-05,0.711713,-0.832284,0.32995,-0.0448071,0,0,0,0,0,0,0,0,255,0,0
2.19671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.0197465,-0.284032,0.00196685,-0.440926,0.558381,-0.222467,0.0295574,0,0,0,0,0,0,0,0,0,0,0
2.32208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0477145,0.198476,-0.00244643,0.386803,-0.416833,0.147161,-0.0176504,0,0,0,0,0,0,0,0,255,0,0
2.38778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.0511144,-0.340415,0.00489905,-0.34672,0.430771,-0.162417,0.0201853,0,0,0,0,0,0,0,0,0,0,0
2.45992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0888059,0.185337,-0.00318965,0.336107,-0.331993,0.108087,-0.0120082,0,0,0,0,0,0,0,0,255,0,0
2.52757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.0371267,-0.400494,0.0034401,-0.243234,0.310024,-0.113465,0.0135461,0,0,0,0,0,0,0,0,0,0,0
1.89112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.0542105,0.244485,0.0571198,0.677142,-1.07416,0.517003,-0.0819744,0,0,0,0,0,0,0,0,255,0,0
